#
#Allele symbols are usually of the form xxx<yy>, where the <> enclose the part of the symbol that is superscripted.
#
#Transgene insertions, with symbols of the form Tg(aaa)##bbb, are included in this listing, but notably have no corresponding gene marker.
#
#For details of nomenclature rules, see http://www.informatics.jax.org/mgihome/nomen/index.shtml
#
MGI:1855942	a<td>	tanoid	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1859844	a<twp>	black, white bellied and patch	Spontaneous	3227730	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855943	a<u>	agouti umbrous	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:1855930	A<vy>	viable yellow	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:1855947	A<w-15J>	white bellied agouti 15 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856446	A<w-20J>	white bellied agouti 20 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856447	A<w-22J>	white bellied agouti 22 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856448	A<w-26J>	white bellied agouti 26 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856449	A<w-27J>	white bellied agouti 27 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856452	A<w-34J>	white bellied agouti 34 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856453	A<w-35J>	white bellied agouti 35 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856454	A<w-36J>	white bellied agouti 36 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856455	A<w-37J>	white bellied agouti 37 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856456	A<w-38J>	white bellied agouti 38 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856457	A<w-39J>	white bellied agouti 39 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856458	A<w-40J>	white bellied agouti 40 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856459	A<w-41J>	white bellied agouti 41 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856460	A<w-42J>	white bellied agouti 42 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856461	A<w-43J>	white bellied agouti 43 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1857582	A<w-45J>	white bellied agouti 45 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2181392	A<w-46J>	white bellied agouti 46 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:2181393	A<w-47J>	white bellied agouti 47 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:1855946	A<w-J>	white bellied agouti Jackson	Spontaneous	5798139	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855936	A<w>	white bellied agouti	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855944	a<x>	lethal nonagouti	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856451	A<y-J>	yellow Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856798	A<y>	yellow	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0005378
